openlibrary_id,title,authors,first_publish_year,subjects,edition_count,work_key,cover_id,type,genre,summary
OL121839W,The rescue,Kathryn Lasky,2004.0,"Fantasy, Fiction, nyt:series_books=2010-09-05, Owls, New York Times bestseller, Juvenile fiction, Voyages and travels, Fantasy fiction, Children's fiction, Owls, fiction, Large type books, Gylfie (Fictitious character), Soren (Fictitious character), Buhos, Novela juvenil, Gylfie (Personaje literario), Soren (Personaje literario), Spanish language materials",16,/works/OL121839W,277624.0,fiction,Fantasy,
OL121848W,"Guardians of Ga'Hoole, Book Four","Kathryn Lasky, Pamela Garelick",2004.0,"Fantasy, Fiction, nyt:series_books=2010-09-05, Owls, New York Times bestseller, Juvenile fiction, Owls, fiction, Trees, fiction, War, fiction, Children's fiction, Zhang pian xiao shuo, Er tong wen xue, Adventure and adventurers, fiction, Soren (Fictitious character), Gylfie (Fictitious character), Twilight (Fictitious character), Digger (Fictitious character), Tyto (Imaginary place), Good and evil, Spanish language materials, Buhos, Novela juvenil, Bien y mal, Novela fantástica, Tyto (Imaginary place) -",15,/works/OL121848W,1860673.0,fiction,Fantasy,
OL12217049W,God of clocks,Alan Campbell,2009.0,"Fantasy, Fiction",3,/works/OL12217049W,6401253.0,fiction,Fantasy,
OL12217051W,Iron angel,Alan Campbell,2008.0,"Fantasy, Fiction, Fantasy - General, Fiction / Fantasy / General, Fiction - Fantasy, Fiction, fantasy, general, Demoniac possession",6,/works/OL12217051W,2519407.0,fiction,Fantasy,
OL12257358W,Smoke and ashes,Tanya Huff,2006.0,"American Fantasy fiction, Fantasy, Fantasy fiction, American, Fiction, Henry Fitzroy (Fictitious character), Production and direction, Television, Vampires, Wizards, Women stunt performers, Fitzroy, Henry (Fictitious character) -- Fiction, Vampires -- Fiction, Television -- Production and direction -- Fiction, Wizards -- Fiction, Women stunt performers -- Fiction, Vancouver (B.C.) -- Fiction, Fiction, horror, Fiction, fantasy, contemporary",3,/works/OL12257358W,8720283.0,fiction,Fantasy,
OL12284322W,In the night garden,Catherynne M. Valente,2006.0,"Princes, Fiction, Fantasy, Fiction, fantasy, general, LGBTQ gender identity, LGBTQ science fiction & fantasy, collection:otherwise_tiptree_award=winner, Fantasy fiction",6,/works/OL12284322W,8266949.0,fiction,Fantasy,
OL12284323W,Palimpsest,"Catherynne M. Valente, Catherynne M. Valente, Aasne Vigesaa",2009.0,"Fiction, Bookbinders, Locksmiths, Girls, Beekeepers, Fantasy, LGBTQ science fiction & fantasy, Lambda Literary Awards, Lambda Literary Award Winner",4,/works/OL12284323W,9123952.0,fiction,Fantasy,
OL12305896W,The island,Tim Lebbon,2009.0,"Magic, Magic in fiction, Fiction, Dystopias in fiction, Dystopias, Fiction, fantasy, general, FICTION, Fantasy, General",3,/works/OL12305896W,6306281.0,fiction,Fantasy,
OL12458312W,Dark lies,Viva Anna,2007.0,"Man-woman relationships, Fantasy, Paranormal, Fiction, Romance, Werewolves, Fiction, romance, fantasy, Fiction, romance, general, Fiction, mystery & detective, police procedural, Crime, fiction",3,/works/OL12458312W,7001738.0,fiction,Fantasy,
OL12534731W,Magic Knight Rayearth II,Clamp,2003.0,"Magic, Fantasy, Juvenile fiction, Fiction, Science fiction, Heroes, Cartoons and comics, Comics & graphic novels, east asian style, manga, fantasy",4,/works/OL12534731W,12784131.0,fiction,Fantasy,
